Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2013-02-18,56,9,47,16
2013-02-19,110,26,84,17
2013-02-20,95,29,66,20
2013-02-21,84,27,57,10
2013-02-22,171,23,148,15
2013-02-23,24,5,19,0
2013-02-24,52,12,40,10
2013-02-25,112,39,73,23
2013-02-26,140,33,107,24
2013-02-27,135,32,103,34
2013-02-28,145,36,109,18
2013-03-01,262,63,199,40
2013-03-02,107,24,83,42
2013-03-03,95,13,82,14
2013-03-04,237,55,182,29
2013-03-05,253,44,209,30
2013-03-06,155,29,126,23
2013-03-07,127,26,101,25
2013-03-08,164,24,140,26
2013-03-09,92,11,81,13
2013-03-10,60,12,48,18
2013-03-11,135,34,101,25
2013-03-12,143,31,112,25
2013-03-13,129,30,99,23
2013-03-14,155,19,136,21
2013-03-15,130,20,110,21
2013-03-16,45,9,36,9
2013-03-17,65,11,54,21
2013-03-18,100,21,79,15
2013-03-19,74,11,63,12
2013-03-20,132,31,101,21
2013-03-21,132,43,89,33
2013-03-22,109,26,83,22
2013-03-23,41,9,32,9
2013-03-24,89,17,72,16
2013-03-25,125,28,97,15
2013-03-26,105,20,85,17
2013-03-27,88,10,78,28
2013-03-28,74,20,54,26
2013-03-29,73,10,63,14
2013-03-30,50,11,39,7
2013-03-31,54,7,47,7
2013-04-01,83,21,62,18
2013-04-02,101,23,78,21
2013-04-03,74,10,64,7
2013-04-04,90,21,69,15
2013-04-05,76,16,60,22
2013-04-06,53,5,48,5
2013-04-07,40,6,34,8
2013-04-08,50,16,34,18
2013-04-09,132,17,115,19
2013-04-10,146,32,114,26
2013-04-11,116,22,94,32
2013-04-12,136,28,108,19
2013-04-13,45,11,34,20
2013-04-14,42,9,33,9
2013-04-15,140,43,97,22
2013-04-16,347,124,223,84
2013-04-17,243,66,177,58
2013-04-18,131,41,90,23
2013-04-19,84,16,68,17
2013-04-20,54,9,45,20
2013-04-21,42,9,33,12
2013-04-22,111,25,86,27
2013-04-23,96,19,77,13
2013-04-24,160,22,138,22
2013-04-25,115,24,91,36
2013-04-26,95,33,62,27
2013-04-27,15,4,11,2
2013-04-28,42,6,36,11
2013-04-29,86,19,67,20
2013-04-30,59,15,44,18
2013-05-01,96,21,75,15
2013-05-02,78,15,63,22
2013-05-03,56,12,44,8
2013-05-04,50,8,42,9
2013-05-05,39,9,30,14
2013-05-06,83,22,61,28
2013-05-07,138,51,87,29
2013-05-08,186,39,147,46
2013-05-09,196,32,164,42
2013-05-10,133,28,105,33
2013-05-11,80,11,69,26
2013-05-12,53,10,43,18
2013-05-13,88,21,67,30
2013-05-14,127,26,101,22
2013-05-15,197,32,165,24
2013-05-16,114,28,86,36
2013-05-17,246,47,199,44
2013-05-18,137,22,115,41
2013-05-19,263,57,206,66
2013-05-20,593,162,431,104
2013-05-21,157,45,112,43
2013-05-22,98,29,69,28
2013-05-23,75,29,46,22
2013-05-24,119,28,91,41
2013-05-25,37,3,34,7
2013-05-26,19,2,17,6
2013-05-27,10,3,7,1
2013-05-28,72,20,52,14
2013-05-29,62,17,45,16
2013-05-30,81,19,62,22
2013-05-31,51,13,38,11
2013-06-01,37,8,29,7
2013-06-02,11,5,6,3
2013-06-03,41,8,33,8
2013-06-04,61,18,43,15
2013-06-05,61,24,37,13
2013-06-06,92,20,72,35
2013-06-07,102,30,72,34
2013-06-08,47,14,33,8
2013-06-09,49,6,43,11
2013-06-10,55,16,39,11
2013-06-11,76,12,64,16
2013-06-12,62,20,42,7
2013-06-13,83,17,66,10
2013-06-14,94,12,82,15
2013-06-15,63,2,61,4
2013-06-16,39,7,32,11
2013-06-17,57,13,44,9
2013-06-18,45,13,32,2
2013-06-19,73,11,62,13
2013-06-20,166,36,130,15
2013-06-21,88,19,69,14
2013-06-22,36,9,27,3
2013-06-23,32,5,27,3
2013-06-24,85,31,54,13
2013-06-25,86,18,68,16
2013-06-26,44,13,31,9
2013-06-27,54,15,39,14
2013-06-28,78,21,57,16
2013-06-29,45,13,32,9
2013-06-30,46,11,35,7
2013-07-01,64,20,44,15
2013-07-02,91,23,68,13
2013-07-03,43,8,35,5
2013-07-04,30,10,20,5
