Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2013-02-18,26,3,23,0
2013-02-19,19,5,14,2
2013-02-20,37,6,31,6
2013-02-21,45,4,41,9
2013-02-22,52,10,42,5
2013-02-23,16,4,12,0
2013-02-24,14,4,10,1
2013-02-25,33,5,28,4
2013-02-26,39,10,29,1
2013-02-27,61,19,42,6
2013-02-28,79,23,56,5
2013-03-01,75,21,54,7
2013-03-02,38,17,21,1
2013-03-03,31,8,23,1
2013-03-04,62,10,52,4
2013-03-05,65,24,41,1
2013-03-06,77,31,46,3
2013-03-07,52,10,42,4
2013-03-08,66,18,48,4
2013-03-09,35,10,25,0
2013-03-10,32,5,27,0
2013-03-11,75,15,60,2
2013-03-12,63,11,52,3
2013-03-13,62,11,51,0
2013-03-14,46,8,38,1
2013-03-15,32,9,23,1
2013-03-16,51,26,25,1
2013-03-17,29,15,14,0
2013-03-18,80,18,62,2
2013-03-19,76,28,48,0
2013-03-20,281,118,163,32
2013-03-21,166,72,94,14
2013-03-22,76,35,41,19
2013-03-23,36,18,18,1
2013-03-24,23,8,15,1
2013-03-25,91,34,57,5
2013-03-26,72,31,41,3
2013-03-27,63,26,37,4
2013-03-28,44,19,25,3
2013-03-29,59,25,34,1
2013-03-30,40,19,21,0
2013-03-31,14,4,10,0
2013-04-01,64,28,36,3
2013-04-02,50,22,28,3
2013-04-03,65,30,35,7
2013-04-04,89,40,49,5
2013-04-05,76,28,48,7
2013-04-06,46,31,15,0
2013-04-07,50,22,28,0
2013-04-08,54,23,31,4
2013-04-09,53,23,30,9
2013-04-10,111,40,71,7
2013-04-11,51,18,33,8
2013-04-12,52,16,36,2
2013-04-13,52,24,28,1
2013-04-14,49,23,26,0
2013-04-15,96,35,61,3
2013-04-16,64,40,24,0
2013-04-17,76,44,32,0
2013-04-18,80,37,43,0
2013-04-19,103,63,40,2
2013-04-20,54,30,24,0
2013-04-21,71,42,29,0
2013-04-22,56,18,38,0
2013-04-23,54,32,22,0
2013-04-24,38,12,26,0
2013-04-25,68,27,41,0
2013-04-26,45,16,29,0
2013-04-27,16,8,8,0
2013-04-28,42,11,31,0
2013-04-29,41,10,31,1
2013-04-30,30,11,19,5
2013-05-01,29,11,18,1
2013-05-02,66,16,50,1
2013-05-03,33,15,18,1
2013-05-04,23,6,17,0
2013-05-05,41,23,18,0
2013-05-06,61,23,38,1
2013-05-07,69,20,49,1
2013-05-08,51,19,32,0
2013-05-09,57,28,29,1
2013-05-10,72,40,32,1
2013-05-11,26,13,13,0
2013-05-12,32,15,17,0
2013-05-13,93,48,45,0
2013-05-14,109,46,63,0
2013-05-15,85,38,47,1
2013-05-16,80,43,37,1
2013-05-17,68,36,32,0
2013-05-18,63,27,36,0
2013-05-19,85,37,48,0
2013-05-20,64,28,36,0
2013-05-21,92,46,46,0
2013-05-22,119,58,61,1
2013-05-23,49,20,29,0
2013-05-24,51,27,24,0
2013-05-25,43,24,19,0
2013-05-26,23,15,8,0
2013-05-27,40,13,27,0
2013-05-28,36,14,22,2
2013-05-29,51,13,38,0
2013-05-30,47,17,30,0
2013-05-31,58,28,30,0
2013-06-01,14,6,8,0
2013-06-02,20,9,11,0
2013-06-03,43,17,26,0
2013-06-04,29,13,16,0
2013-06-05,30,13,17,0
2013-06-06,86,37,49,2
2013-06-07,113,42,71,0
2013-06-08,39,14,25,0
2013-06-09,65,31,34,0
2013-06-10,65,25,40,0
2013-06-11,59,24,35,0
2013-06-12,72,21,51,0
2013-06-13,79,35,44,0
2013-06-14,41,16,25,1
2013-06-15,40,16,24,0
2013-06-16,52,17,35,0
2013-06-17,42,10,32,0
2013-06-18,48,22,26,1
2013-06-19,43,16,27,0
2013-06-20,143,81,62,12
2013-06-21,100,51,49,15
2013-06-22,26,15,11,2
2013-06-23,26,9,17,4
2013-06-24,83,31,52,4
2013-06-25,68,25,43,8
2013-06-26,88,30,58,42
2013-06-27,43,16,27,5
2013-06-28,60,22,38,2
2013-06-29,47,16,31,0
2013-06-30,78,20,58,3
2013-07-01,83,29,54,8
2013-07-02,38,15,23,3
2013-07-03,43,17,26,3
2013-07-04,17,10,7,0
2013-07-05,26,11,15,0
2013-07-06,67,21,46,0
2013-07-07,101,28,73,0
2013-07-08,76,24,52,1
2013-07-09,62,15,47,2
2013-07-10,37,14,23,2
2013-07-11,34,12,22,0
2013-07-12,27,9,18,1
2013-07-13,81,43,38,0
2013-07-14,45,18,27,2
2013-07-15,63,26,37,3
2013-07-16,64,29,35,0
2013-07-17,53,26,27,0
2013-07-18,42,21,21,3
2013-07-19,55,23,32,0
2013-07-20,54,37,17,0
2013-07-21,42,20,22,0
2013-07-22,5,4,1,0
