Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2013-02-18,87,19,68,4
2013-02-19,224,60,164,6
2013-02-20,158,63,95,15
2013-02-21,136,34,102,6
2013-02-22,180,42,138,11
2013-02-23,65,7,58,2
2013-02-24,71,12,59,3
2013-02-25,123,30,93,3
2013-02-26,207,54,153,2
2013-02-27,222,63,159,6
2013-02-28,161,25,136,2
2013-03-01,168,31,137,7
2013-03-02,74,14,60,3
2013-03-03,93,15,78,4
2013-03-04,266,62,204,5
2013-03-05,187,51,136,4
2013-03-06,140,22,118,6
2013-03-07,248,63,185,30
2013-03-08,151,20,131,6
2013-03-09,114,9,105,1
2013-03-10,108,17,91,0
2013-03-11,182,51,131,14
2013-03-12,151,32,119,10
2013-03-13,151,18,133,10
2013-03-14,210,30,180,13
2013-03-15,217,36,181,16
2013-03-16,103,11,92,2
2013-03-17,94,11,83,4
2013-03-18,173,43,130,16
2013-03-19,134,26,108,9
2013-03-20,243,31,212,10
2013-03-21,116,23,93,4
2013-03-22,114,26,88,26
2013-03-23,72,19,53,19
2013-03-24,178,46,132,61
2013-03-25,149,56,93,45
2013-03-26,73,16,57,14
2013-03-27,193,36,157,66
2013-03-28,169,33,136,52
2013-03-29,107,12,95,5
2013-03-30,84,15,69,1
2013-03-31,78,12,66,17
2013-04-01,150,32,118,25
2013-04-02,201,46,155,33
2013-04-03,149,34,115,17
2013-04-04,155,28,127,49
2013-04-05,155,25,130,22
2013-04-06,136,22,114,3
2013-04-07,97,7,90,4
2013-04-08,126,18,108,15
2013-04-09,203,39,164,13
2013-04-10,188,36,152,12
2013-04-11,144,37,107,12
2013-04-12,93,13,80,8
2013-04-13,78,6,72,0
2013-04-14,97,6,91,3
2013-04-15,122,24,98,4
2013-04-16,181,34,147,6
2013-04-17,181,36,145,13
2013-04-18,196,37,159,12
2013-04-19,156,33,123,16
2013-04-20,108,14,94,1
2013-04-21,139,29,110,5
2013-04-22,130,26,104,9
2013-04-23,89,24,65,5
