Date,TotalMessage,TopicMessage,ReplyMessage,Sentiment
2013-02-18,14,4,10,1
2013-02-19,36,4,32,1
2013-02-20,59,8,51,4
2013-02-21,37,4,33,2
2013-02-22,58,10,48,1
2013-02-23,25,3,22,1
2013-02-24,12,1,11,2
2013-02-25,51,6,45,6
2013-02-26,47,5,42,2
2013-02-27,73,7,66,3
2013-02-28,56,8,48,3
2013-03-01,49,7,42,4
2013-03-02,12,0,12,0
2013-03-03,17,3,14,0
2013-03-04,92,7,85,3
2013-03-05,68,3,65,5
2013-03-06,53,6,47,1
2013-03-07,62,5,57,4
2013-03-08,38,4,34,7
2013-03-09,39,7,32,0
2013-03-10,39,0,39,2
2013-03-11,54,4,50,2
2013-03-12,60,6,54,6
2013-03-13,42,4,38,1
2013-03-14,60,7,53,2
2013-03-15,53,10,43,5
2013-03-16,15,4,11,1
2013-03-17,11,5,6,0
2013-03-18,56,7,49,7
2013-03-19,33,3,30,1
2013-03-20,28,3,25,2
2013-03-21,36,6,30,2
2013-03-22,20,3,17,0
2013-03-23,2,1,1,0
2013-03-24,6,3,3,1
2013-03-25,35,8,27,2
2013-03-26,17,3,14,5
2013-03-27,18,1,17,2
2013-03-28,46,8,38,1
2013-03-29,20,0,20,3
2013-03-30,10,1,9,0
2013-03-31,20,2,18,0
2013-04-01,66,6,60,2
2013-04-02,52,6,46,4
2013-04-03,43,5,38,3
2013-04-04,53,5,48,10
2013-04-05,44,4,40,7
2013-04-06,15,2,13,2
2013-04-07,13,1,12,1
2013-04-08,40,4,36,10
2013-04-09,36,3,33,2
2013-04-10,42,6,36,5
2013-04-11,53,4,49,18
2013-04-12,57,6,51,3
2013-04-13,11,1,10,4
2013-04-14,10,1,9,0
2013-04-15,27,6,21,1
2013-04-16,37,5,32,5
2013-04-17,37,5,32,2
2013-04-18,62,5,57,0
2013-04-19,41,8,33,3
2013-04-20,6,2,4,2
2013-04-21,15,1,14,5
2013-04-22,47,6,41,21
2013-04-23,60,20,40,16
2013-04-24,130,30,100,18
2013-04-25,59,6,53,10
2013-04-26,97,17,80,13
2013-04-27,24,6,18,0
2013-04-28,16,2,14,0
2013-04-29,54,9,45,4
2013-04-30,78,8,70,18
2013-05-01,101,16,85,21
2013-05-02,81,7,74,9
2013-05-03,62,17,45,16
2013-05-04,11,3,8,1
2013-05-05,9,0,9,1
2013-05-06,69,7,62,3
2013-05-07,52,6,46,5
2013-05-08,38,5,33,7
2013-05-09,114,12,102,26
2013-05-10,77,12,65,4
2013-05-11,32,1,31,0
2013-05-12,23,3,20,2
2013-05-13,73,12,61,11
2013-05-14,44,15,29,5
2013-05-15,75,7,68,6
2013-05-16,65,7,58,4
2013-05-17,61,9,52,15
2013-05-18,13,7,6,0
2013-05-19,48,4,44,4
2013-05-20,75,7,68,7
2013-05-21,83,13,70,9
2013-05-22,82,13,69,20
2013-05-23,58,5,53,7
2013-05-24,62,9,53,10
2013-05-25,26,3,23,2
2013-05-26,21,2,19,0
2013-05-27,34,4,30,3
2013-05-28,95,16,79,20
2013-05-29,100,15,85,29
2013-05-30,95,16,79,14
2013-05-31,89,17,72,25
2013-06-01,10,1,9,2
2013-06-02,9,3,6,2
2013-06-03,51,8,43,13
2013-06-04,49,5,44,4
2013-06-05,38,6,32,12
2013-06-06,77,23,54,9
2013-06-07,104,20,84,23
2013-06-08,18,2,16,1
2013-06-09,24,0,24,4
